Date,Currency,Reward amount,Rewards description
2022-09-15T12:23:09.862809Z,INR,3.00,Google Pay rewards
2023-05-02T11:32:03.068834Z,INR,4.00,Google Pay rewards
2021-06-01T06:29:24.634230Z,INR,2.00,Google Pay rewards
2022-06-20T19:37:29.477027Z,INR,14.00,Google Pay rewards
2022-12-02T06:34:57.618944Z,INR,4.00,Google Pay rewards
2022-02-08T08:12:45.770388Z,INR,6.00,Google Pay rewards
2021-06-01T06:29:15.966897Z,INR,5.00,Google Pay rewards
2022-08-19T20:49:24.739265Z,INR,3.00,Google Pay rewards
2021-06-01T06:29:38.211035Z,INR,5.00,Google Pay rewards
2022-03-27T10:27:46.802370Z,INR,3.00,Google Pay rewards
2022-08-01T08:20:34.069917Z,INR,3.00,Google Pay rewards
2021-03-31T06:07:45.009190Z,INR,6.00,Google Pay rewards
2022-01-24T18:07:59.541394Z,INR,6.00,Google Pay rewards
2022-11-09T23:19:47.368494Z,INR,3.00,Google Pay rewards
2023-03-08T06:09:21.249506Z,INR,3.00,Google Pay rewards
2023-03-14T10:00:51.693147Z,INR,3.00,Google Pay rewards
2022-03-27T10:27:34.759948Z,INR,3.00,Google Pay rewards
2022-08-28T14:43:49.382130Z,INR,3.00,Google Pay rewards
